scale,CtreesHaloID,pid,mvir,rvir,rs,x,y,z,Mmvir_all,M200b,M200c,M500c,T/|U|,Halfmass_Scale,Acc_Rate_Inst,Acc_Rate_100Myr,Acc_Rate_1*Tdyn,Acc_Rate_2*Tdyn,Acc_Rate_Mpeak,c_vir,R200c,R500c,redshift,Ngal_Dsep_1,Ngal_Rvir,Ngal_R200c,Ngal_R500c
0.6712,9903819964,-1,65929000000000.0,0.926606995,198.904999,879.83313,993.80255,364.66962,65929000000000.0,68540000000000.0,58839000000000.0,39264000000000.0,0.6101,0.5032,-1773.0,-1773.0,3565.0,12210.0,13180.0,4.6585405075716,0.4951773899289452,0.2675963355851701,0.4898688915375446,38.0,38.0,9.0,4.0
0.6712,9903820409,-1,58791000000000.0,0.891877991,190.511993,883.96124,987.79791,372.15771,58798000000000.0,61049000000000.0,52721000000000.0,33413000000000.0,0.6409,0.4215,7607.0,7607.0,9777.0,9709.0,7113.0,4.6814795066471,0.4756653771036049,0.2555547890286473,0.4898688915375446,35.0,35.0,13.0,4.0
0.6712,9894487875,-1,95473000000000.0,1.0483260499999998,248.938004,810.14874,988.77008,349.41449,95473000000000.0,101080000000000.0,83236000000000.0,55760000000000.0,0.723,0.4814,17980.0,17980.0,15790.0,15700.0,15620.0,4.2111932816814,0.5637815201487317,0.3104175023180791,0.4898688915375446,77.0,80.0,30.0,9.0
0.6712,9903822751,-1,105390000000000.0,1.08344104,189.910004,893.82794,937.64624,371.02658,105430000000000.0,109880000000000.0,93755000000000.0,63369000000000.0,0.6568,0.3609,33800.0,33800.0,17700.0,12560.0,13530.0,5.7050235226154,0.5836237725079425,0.322929385796034,0.4898688915375446,56.0,60.0,14.0,4.0
0.6712,9903238173,-1,73595000000000.0,0.961210999,300.481995,893.8587,931.60748,322.05453,73595000000000.0,77381000000000.0,57341000000000.0,35452000000000.0,0.7729,0.6142,81250.0,81250.0,29750.0,16800.0,15990.0,3.1988971552189,0.5146498983311958,0.2796769558755779,0.4898688915375446,46.0,46.0,20.0,9.0
0.6712,9894486760,-1,108770000000000.0,1.094895996,272.498993,806.87634,976.99017,361.00729,109140000000000.0,111710000000000.0,99613000000000.0,65725000000000.0,0.7275,0.526,11280.0,11280.0,25960.0,24480.0,26070.0,4.0179818058997,0.5901055676432037,0.3270274935945378,0.4898688915375446,55.0,61.0,21.0,5.0
0.6712,9903824026,-1,63488000000000.0,0.915023987,127.032997,877.97833,995.94751,376.05591,63494000000000.0,67009000000000.0,57579000000000.0,44110000000000.0,0.6856,0.4215,2054.0,2054.0,4069.0,3929.0,4734.0,7.2030417970852,0.4886674882710878,0.263571483470916,0.4898688915375446,40.0,40.0,16.0,6.0
0.6712,9894488568,-1,98148000000000.0,1.058026978,201.291,828.51648,993.28625,352.25519,98163000000000.0,102880000000000.0,88530000000000.0,63995000000000.0,0.6767,0.4123,12720.0,12720.0,17520.0,13920.0,11990.0,5.2562060797551,0.5692618197819672,0.3138678495706771,0.4898688915375446,72.0,76.0,27.0,4.0
0.6712,9894488290,-1,94455000000000.0,1.044588013,188.141998,816.7182,992.25745,355.01321,94475000000000.0,98497000000000.0,86146000000000.0,61741000000000.0,0.6233,0.4406,2698.0,2698.0,4094.0,2142.0,4133.0,5.5521256503292,0.56166955527526,0.309088977698792,0.4898688915375446,54.0,54.0,13.0,3.0
0.6712,9894449124,-1,106880000000000.0,1.088525024,314.852997,831.32312,955.30865,343.51428,107060000000000.0,112420000000000.0,89813000000000.0,56522000000000.0,0.6582,0.4709,39190.0,39190.0,19380.0,18640.0,17240.0,3.4572484123439,0.5864977977480986,0.3247460116982618,0.4898688915375446,60.0,67.0,19.0,2.0
